election_period,speaker,role,length_word,length_sentence,length_paragraph,length_utterance,utterance-paragraph,paragraph-sentence,sentence-word,unanchored,words_per_minute
ps2013,AdolfBeznoska.1961,regular,595380.0,686310.0,741510.0,759360.0,0.02350663716814159,0.07444269126512117,0.13249114831490144,0.0531767955801105,114.41213653603033
ps2013,LudvikHovorka.1963,regular,2370120.0,2925660.0,3123360.0,3241190.0,0.0363539317349492,0.06329721838020594,0.1898853592010008,0.076018549188473,111.77376210589321
ps2013,JiriMihola.1972,regular,2298070.0,2740010.0,2957190.0,3156960.0,0.06327923065227307,0.07344134127330337,0.16129138214824035,0.07966040462427745,105.21514368253003
ps2013,PavelBlazek.1969,regular,41260.0,44120.0,49540.0,49540.0,0.0,0.10940654016955995,0.06482320942883046,0.10687022900763359,158.6596689543803
ps2013,MilanChovanec.1970,regular,1226760.0,1349920.0,1439850.0,1482800.0,0.02896547073104937,0.06245789491960968,0.09123503615029038,0.07561436672967864,128.43269490153764
ps2013,PavelHolik.1957,regular,138830.0,150950.0,160210.0,163250.0,0.01862174578866769,0.057799138630547406,0.08029148724743293,0.1016949152542373,130.1071975497703
ps2013,RomanSklenak.1970,regular,384720.0,444510.0,495700.0,501330.0,0.011230127859892686,0.10326810570909825,0.1345076601201323,0.07314814814814814,129.25617856501705
ps2013,AndrejBabis.1954,guest,2142830.0,2485490.0,2763390.0,2877570.0,0.03967931275346907,0.10056488588291917,0.13786416360556672,0.11149595909615702,126.41916617145715
ps2013,MichaelaMarksova.1969,regular,341990.0,388930.0,416790.0,423300.0,0.015379163713678243,0.06684421411262266,0.12069009847530404,0.059178743961352656,117.363571934798
ps2013,VaclavKlucka.1953,regular,207510.0,234870.0,251670.0,257470.0,0.02252689633743737,0.06675408272738109,0.11648997317665091,0.0737527114967462,107.42999184370993
ps2013,VlastimilGabrhel.1978,regular,56950.0,61120.0,66250.0,66250.0,0.0,0.07743396226415095,0.06822643979057591,0.030303030303030304,119.54716981132074
ps2013,VladimirKonicek.1964,regular,133470.0,151390.0,154960.0,155310.0,0.0022535574013263795,0.023038203407330923,0.11836977343285554,0.04067796610169491,113.96561715279118
ps2013,MiroslavGrebenicek.1947,regular,339850.0,396570.0,419620.0,428490.0,0.020700599780624985,0.05493065154187122,0.1430264518243942,0.025684931506849314,81.7755373520969
ps2013,TomioOkamura.1972,regular,1894220.0,3114460.0,3391190.0,3559630.0,0.04731952478207006,0.08160262326793839,0.39179825716175515,0.31770190593720005,122.92850661445149
ps2013,JitkaChalankova.1957,regular,278990.0,297040.0,328520.0,334410.0,0.01761310965581173,0.09582369414343114,0.06076622677080528,0.04477611940298507,120.2117161568135
ps2013,JanMladek.1960,regular,597370.0,717010.0,762750.0,790590.0,0.03521420711114484,0.05996722386102917,0.16685959749515347,0.10481770833333333,116.57116836792774
ps2013,JanaPastuchova.1965,regular,378210.0,436780.0,460300.0,471000.0,0.022717622080679404,0.05109711058005648,0.13409496771830212,0.07819905213270142,107.51592356687898
ps2013,LeoLuzar.1964,regular,286500.0,331160.0,354800.0,360860.0,0.016793216205730776,0.0666290868094701,0.13485928252204374,0.07848443843031123,122.8731363963864
ps2013,IgorJakubcik.1967,regular,143140.0,160810.0,176120.0,177410.0,0.007271292486331097,0.08692936634113105,0.10988122629189727,0.10880829015544041,130.54506510343273
ps2013,MiloslavaVostra.1965,regular,89160.0,127490.0,132110.0,137710.0,0.04066516592840026,0.034970857618651124,0.30065103145344735,0.13934426229508196,106.31036235567497
ps2013,ReneCip.1974,regular,59850.0,64270.0,71520.0,71520.0,0.0,0.10137024608501119,0.06877236657849696,0.07092198581560284,118.28859060402685
ps2013,JanaCernochova.1973,regular,441890.0,533540.0,564030.0,571080.0,0.012345030468585837,0.05405740829388508,0.17177718634029313,0.047619047619047616,114.72998529102752
ps2013,VlastimilVozka.1954,regular,136810.0,174590.0,191010.0,191010.0,0.0,0.08596408564996597,0.21639269144853657,0.05303030303030303,82.92759541385267
ps2013,VaclavVotava.1956,regular,1165810.0,1441780.0,1571340.0,1615250.0,0.027184646339575916,0.08245192001731007,0.19140923025704337,0.06180939226519337,107.57467884228447
ps2013,MartinStropnicky.1956,regular,731000.0,921250.0,999710.0,1022600.0,0.022384118912575787,0.07848276000040011,0.20651289009497964,0.07445708376421924,113.47545472325446
ps2013,RadimHolecek.1976,regular,223990.0,234960.0,264630.0,270120.0,0.0203243003109729,0.11211880739145222,0.046688798093292475,0.060650887573964495,150.15548645046647
ps2013,PavelSramek.1965,regular,73020.0,88490.0,102490.0,104410.0,0.018389043195096256,0.13659869255537124,0.17482201378686857,0.11055276381909548,114.35686236950484
ps2013,JosefKott.1970,regular,500990.0,713060.0,816000.0,827120.0,0.013444240255343843,0.12615196078431373,0.2974083527332903,0.05756578947368421,88.20969145952219
