speaker,word,sentence,paragraph,utterance
RadekVondracek.1973,117700.0,128890.0,138710.0,142400.0
KristynaZelienkova.1974,230820.0,250690.0,261950.0,269110.0
VlastaBohdalova.1957,1495090.0,1684090.0,1827790.0,1929370.0
MilanUrban.1958,123200.0,164080.0,177160.0,178970.0
SvatoplukNemecek.1972,670080.0,740250.0,772700.0,891950.0
PavelAntonin.1962,80030.0,93710.0,100690.0,101430.0
JaroslavKlaska.1962,99980.0,111310.0,113650.0,120990.0
JosefNovotny.1952,228440.0,272680.0,290460.0,304890.0
KarelCerny.1965,231900.0,247640.0,267290.0,275390.0
GabrielaHubackova.1975,169610.0,199020.0,211220.0,233070.0
MilanBrazdil.1962,162600.0,176110.0,202520.0,206230.0
RostislavVyzula.1952,232110.0,273010.0,307310.0,316340.0
LubomirZaoralek.1956,847980.0,1055210.0,1154700.0,1242520.0
ZdenekSyblik.1956,95340.0,115960.0,127290.0,129050.0
MilanSarapatka.1955,32690.0,44150.0,46000.0,47230.0
AnnaPutnova.1960,456500.0,521300.0,585700.0,600250.0
IvoPojezny.1961,289860.0,326630.0,361220.0,368650.0
PavelPloc.1964,10880.0,11270.0,17210.0,17210.0
IvanaDobesova.1960,583470.0,732890.0,810960.0,826840.0
KarelSchwarzenberg.1937,146170.0,180160.0,192810.0,196290.0
RadimFiala.1969,269690.0,284280.0,321890.0,331270.0
JaroslavHolik.1953,73950.0,84800.0,101190.0,102410.0
VaclavSnopek.1951,26710.0,29110.0,36190.0,36190.0
JiriKoskuba.1955,97780.0,106550.0,116270.0,118130.0
JiriBehounek.1952,11610.0,13070.0,14700.0,14700.0
FrantisekAdamek.1955,158840.0,188010.0,200250.0,202780.0
JiriPetru.1956,277010.0,327340.0,355410.0,365420.0
JiriZlatuska.1957,408320.0,588960.0,625660.0,640140.0
JaroslavFoldyna.1960,50160.0,55300.0,58180.0,58180.0
